English	Persian
keyword	کلیدواژه
keyword argument	آرگومان کلیدواژه‌ای
lambda	لامبدا
LBYL	LBYL (نگاه کن پیش از پریدن)
line	سطر
line feed	تغذیه‌ی سطر
list	فهرست
list comprehension	درک فهرستی
literal	لفظی
literals	مقادیر لفظی
little-endian	کوچک‌اندیان
linker	پیونددهنده
load	بارگذاری
loader	بارگذار
local	محلی
locale	locale
logger	گزارش‌گیر
logging	گزارش‌گیری
long distance matcher	تطبیق‌گر فاصله بلند
lookahead assertion	شرط پیش‌نگر
lookbehind assertion	شرط پس‌نگر
loop	حلقه
magic method	متد جادویی
manager	مدیر
map	نگاشت
mapped	نگاشت‌شده
mapping	نگاشت
marshal	مارشال‌کردن
marshaling/marshalling	مارشالینگ
mask	نقاب
master (pty)	اصلی
match finder	تطبیق‌یاب
max-heap	هیپ بیشینه
meta path finder	یابنده فرامسیر
metaclass	فراکلاس
method	متد، روش
method resolution order (MRO)	ترتیب حل متد
min-heap	هیپ کمینه
mix-in	میکس‌این
mixed-in	افزوده‌شده، میکس‌این
mock	ماک
mode	حالت
module	ماژول
module spec	مشخصه ماژول
monkey-patch	مانکی‌پچ
mutable	تغییرپذیر
mutex	قفل متقابل
name resolution	حل نام
named tuple	تاپل نام‌دار
namespace	فضای نام
namespace package	بسته فضای نام
NaN	NaN
nested scope	محدوده تودرتو
no-op	عملیات بی‌اثر
non-capturing group	گروه غیرثبت‌کننده
notation	نمادگذاری، نماد
nul	تهی
object	شیء
octet	هشت‌بیتی
offset	آفست
opcode	کدعمل
operator	عملگر
optimized scope	محدوده بهینه‌شده
ordinal	ترتیبی
overload	سربارگذاری
overloaded	سربارگذاری‌شده
package	بسته
padding	پُرکننده، پدینگ
pane	بخش
parallelism	موازی‌سازی
parameter	پارامتر
parser	پارسر
patch	وصل
path entry	ورودی مسیر
path entry finder	یابنده ورودی مسیر
path entry hook	قلاب ورودی مسیر
path-based finder	یابنده مبتنی بر مسیر
path-like object	شیء شبه‌مسیر
pathname	مسیرنام
payload	بار
PEP	PEP (پیشنهاد بهبود پایتون)
persistence	ماندگاری
persistent	پایا
picklable	پیکل‌پذیر
pickle	پیکل
pickler	پیکل‌ساز
pipe	پایپ
placeholder	جای‌نگهدار
poll	پایش
pool	استخر
polling	پایش
portion	بخش
positional	جایگاهی
positional argument	آرگومان جایگاهی
post-mortem debugging	اشکال‌زدایی پس از خاتمه
precision	دقت
predicate	محمول
process	فرایند
process-local	فرایندمحلی
process-safe	فرایندایمن
profiler	پروفایل‌گیر
profiling	پروفایل‌گیری
proleptic Gregorian	گاه‌شماری میلادی تعمیم‌یافته
prompt	اعلان
property	ویژگی، پراپرتی، خصوصیت
protocol	پروتکل
prototype	پیش‌نمونه
provisional API	API آزمایشی
proxy	پراکسی
pseudo-terminal	شبه‌پایانه
qualified	کامل
qualified name	نام کامل
qualifier	مشخص‌کننده
quantifier	کمیت‌گذار
quotation	علامت نقل‌قول
quoted-printable	quoted-printable
race	رقابت
realm	قلمرو
reentrancy	بازورودپذیری
reentrant	بازورودپذیر
refcount	شمارش ارجاع
reference	ارجاع
reference count	شماره‌ی ارجاع
register	ثبت کردن
regular expression/RE	عبارت باقاعده
regular package	بسته معمولی
REPL	REPL، پوسته تعاملی پایتون
resolution	حل، وضوح
resolve	حل کردن
return	بازگشت، برگرداندن
reverse solidus	اسلش معکوس
rollback	بازگردانی
rollover	چرخش
row	ردیف
run time, run-time	زمان اجرا
runtime	ران‌تایم
salt	نمک
sandbox	سندباکس
sash	نوار جداکننده
scheme	طرح‌واره، طرح
scope	محدوده
seal	مهر و موم
server	سرور
seed	بذر
seek	مکان‌یابی کردن
seeking	مکان‌یابی
setatter	setatter
setter	setter
segmentation fault	خطای قطعه‌بندی (segmentation fault)
sentinel	نشانگر
sequence	دنباله
serialization	سریال‌سازی
set	مجموعه
set comprehension	درک مجموعه
shadowing	پوشاندن
shelf	قفسه
shell	پوسته
signal	سیگنال
single dispatch	ارسال تک‌گانه
single precision	دقت منفرد
singleton	تک‌نمونه
slave (pty)	پیرو
sleep	توقف
slice	اسلایس
slot	جایگاه
snapshot	تصویر لحظه‌ای
spec	مشخصات
special method	متد ویژه
spinbox	اسپین‌باکس
shebang	خط مفسر
stack traceback	ردگیری پشته
state	وضعیت
statement	دستور
static method	متد ایستا
staticmethod	staticmethod
stipple	نقطه‌نگاری
string	رشته
stringifier	رشته‌ساز
struct sequence	دنباله ساختاری
stub	stub
subnormal	زیرنرمال
subscript	زیرنویس
subscription	زیرنویسی
suite	بدنه
surrogate	جانشین
symlink	پیوند نمادین
syntactic sugar	قند نحوی
syntax	سینتکس، نحو
t-string	تی‌استرینگ
task	وظیفه
test	آزمون
test fixture	ثابت آزمایشی
text encoding	کدگذاری متن
text file	پرونده متنی
thread	نخ
thread-local	نخ‌محلی
thread-safe	نخ‌ایمن
time tuple	تاپل زمانی
timeout	مهلت زمانی
titlecase	نگارش عنوان‌نویسی
titlecased	عنوان‌نویسی‌شده
TLS	TLS
token	توکن
tokenizer	توکن‌ساز
trace	رد
tracking	پیگیری
trampoline	ترامپولین
transcode	بازکدگذاری کردن
transcoding	بازکدگذاری
transformer	تبدیل کننده
Transport Layer Security	امنیت لایه انتقال
trap (catch/intercept)	گرفتن، رهگیری کردن
trap (decimal signal mechanism)	تله
treeview	نمای درختی
triple-quoted string	رشته سه‌نقل‌قولی
turtle	turtle، لاک‌پشت
type	نوع، نوع داده، تایپ
type alias	مستعار نوع
type hint	راهنمای نوع
typeahead	پیش‌تایپ
unary	یک‌عملوندی
undo buffer	بافر لغو
unhashable	هش‌ناپذیر
URL	URL، نشانی‌وب
unicode	یونیکد
unit test	آزمون واحد
universal	همگانی
universal newlines	سطرهای جدید همگانی
unmarshal	مارشال‌گشایی کردن
unmarshaling	مارشال‌گشایی
unraisable	غیرقابل‌پرتاب
unpacking assignments	انتساب‌های واگشایی
unpickle	پیکل‌گشایی
UTC	UTC، زمان هماهنگ جهانی
value	مقدار
variable	متغیر
variable annotation	حاشیه‌نویسی متغیر
view	نما
verbose	پرگو، پرجزئیات
virtual environment	محیط مجازی
walrus operator	عملگر گراز دریایی
weak reference	ارجاع ضعیف
wide	پهن
widget	ابزارک
wildcard	وایلدکارد
wrap	پوشش دادن، دربرگرفتن
wrapper	پوششی، دربرگیرنده
write-back	بازنوشت
write-through	نوشتن‌همزمان
zero-padded	پرشده با صفر
zero-padding	پدینگ صفر
zero-width assertion	شرط با عرض صفر
zip application	برنامه zip
future statement	دستور آینده‌نما
task factory	کارخانه وظیفه
factory	کارخانه
eager task execution	اجرای بی‌درنگ وظیفه
future-like object	شیء آینده‌نما
pointer	اشاره‌گر
pack	بسته‌بندی کردن
unpack	بازکردن بسته
unpacking	بازکردن بسته
allocate	تخصیص دادن
allocator	تخصیص‌دهنده
pymalloc	pymalloc
limited	محدود
stable	پایدار
ABI	ABI، رابط دودویی کاربردی
steal	ربودن
stealing	ربایش
struct	struct
framework	چارچوب
domain	دامنه
owned reference	ارجاع مالکانه
dangling pointer	اشاره‌گر معلق
opaque	کدر
dynamic	پویا
traceback	ردگیری
queue	صف
memory block	بلوک حافظه
blocking	مسدود کننده
shared	مشترک، به اشتراک گذاشته شده
non-blocking	غیرمسدودکننده
coroutine function	تابع هم‌روال
trace function	تابع ردگیری
deadlock	بن‌بست
semaphore	سمافور
code block	بلوک کد
concurrent	هم‌زمان
indent	تورفتگی
indentation	تورفتگی
indented	دارای تورفتگی، فرورفته
stack trace	ردگیری پشته
atomic operation	عملیات اتمی
per-object lock	قفلِ مخصوص هر شیء
synchronization primitive	اولیه‌های همگام‌سازی
acquire	به‌دست آوردن
synchronization	همگام‌سازی
thread-local storage	ذخیره‌سازی نخ‌محلی
curly braces	آکولاد
asynchronous	ناهمگام
daemon thread	نخ دِیمِن
monotonic clock	ساعت یکنواخت
priority queue	صف اولویت‌دار
bounded semaphore	سمافور محدود
thread safety	امنیت نخ
current thread	نخ فعلی
multi-thread	چندنخی
external synchronization	همگام‌سازی خارجی
multi-threaded	چندنخی
asynchronous generator function	تابع تولیدگر ناهمگام
worker thread	نخ کارگر
owning thread	نخ مالک
thread specific storage (TSS)	ذخیره‌سازی اختصاصی نخ (TSS)
event loop policy	خط‌مشی حلقه رویداد
async function	تابع ناهمگام
DTrace	DTrace
enqueue	در صف قرار دادن
tracemalloc	tracemalloc
thread identifier	شناسه نخ
per-interpreter GIL	GIL به‌ازای هر مفسر
dummy thread	نخ ساختگی
wall-clock time	زمان ساعت دیواری
notification	اعلان
UTF-8	UTF-8
codec	کُدک
encoder	کدگذار
normalization	نرمال‌سازی
order	ترتیب
charset	مجموعه نویسه‌ها
Unicode Character Database (UCD)	پایگاه داده نویسه‌های یونیکد (UCD)
Content Transfer Encoding (CTE)	کدگذاری انتقال محتوا (CTE)
ACE (ASCII-compatible encoding)	رمزگذاری سازگار با ASCII (ACE)
registry	رجیستری
propagate	انتقال دادن
environment variable	متغیر محیطی
auditing event	رویداد حسابرسی
backward compatibility	سازگاری عقبگرد
reference cycle	چرخه ارجاع
daylight saving time (DST)	زمان صرفه‌جویی در نور روز (DST)
MIME type	نوع MIME
just-in-time compiler (JIT)	کامپایلر درجا (JIT)
concrete implementation	پیاده‌سازی ملموس
ancillary data	داده جانبی
INI file	پرونده INI
abstract syntax tree (AST)	درخت نحوی انتزاعی (AST)
quiescent state-based reclamation (QSBR)	بازیابی مبتنی بر وضعیت سکون (QSBR)
regular expression object	شیء عبارت باقاعده
type hinting	راهنمایی نوع
type parameters	پارامترهای نوع
variadic generics	عام‌های چندآرگومانی
variadic (adj.)	چندآرگومانی
variadic arguments	آرگومان‌های متغیر
generic alias	مستعار عام
generic type alias	مستعار نوع عام
stringified annotations	حاشیه‌نویسی‌های رشته‌ای‌شده
structural subtyping	زیرنوع‌دهی ساختاری
deferred evaluation of annotations	ارزیابی به‌تعویق‌افتاده حاشیه‌نویسی‌ها
bounded type variable	متغیر نوع کراندار
stringized annotation	حاشیه‌نویسی رشته‌ای‌شده
postponed evaluation of annotations	ارزیابی به‌تعویق‌افتاده حاشیه‌نویسی‌ها
constrained type variable	متغیر نوع مقید
type parameter	پارامتر نوع
static type checker	بررسی‌کننده ایستای نوع
type checker	بررسی‌کننده نوع
type variable	متغیر نوع
static type	نوع ایستا
annotation scope	محدوده حاشیه‌نویسی
type annotation	حاشیه‌نویسی نوع
type checking	بررسی نوع
type variable tuple	تاپل متغیر نوع
type narrowing	محدودسازی نوع
annotations dict	دیکشنری حاشیه‌نویسی‌ها
generic class	کلاس عام
parameterized generic	عام پارامتری‌شده
event loop	حلقه رویداد
thread state	وضعیت نخ
free-threaded build	ساخت نخ‌آزاد
exception group	گروه استثنا
dunder	دابل‌آندر
Web Server Gateway Interface (WSGI)	رابط دروازه وب سرور (WSGI)
Simple Mail Transfer Protocol	پروتکل ساده انتقال نامه (SMTP)
file descriptor	توصیف‌گر پرونده
memoryview	memoryview
central directory	پوشه مرکزی
directory entry	ورودی پوشه
parent directory	پوشه والد
start directory	پوشه آغازین
flush mode	حالت تخلیه
stream reader	خواننده جریان
stream writer	نویسنده جریان
IO-bound	محدود به ورودی/خروجی
multi-stream	چندجریانی
unseekable	غیرقابل مکان‌یابی
punctuation	علائم نگارشی
decimal	دهدهی
regression	رگرسیون
digested	پردازش‌شده
caret	نشانک
convenience function	تابع کمکی
convenience variable	متغیر کمکی
